no,Folder(NamePlant),Giới (Kingdom),Nhánh (Clade),Không phân hạng,Bộ (Order),Họ (Family),Chi (Genus),Loài,Số lượng ảnh,Mô tả
1,Abelmoschus_crinitus,Plantae,"Tracheophyta
Angiospermae
Eudicots
Rosids",,Malvales,Malvaceae,Abelmoschus,A. crinitus,100,Bụp tóc (danh pháp khoa học: Abelmoschus crinitus) là một loài thực vật có hoa trong họ Cẩm quỳ. Loài này được Wall. mô tả khoa học đầu tiên năm 1830.
2,Abrus_longibracteatus,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Abrus,A. longibracteatus,99,Cam thảo dây lá bắc dài (danh pháp: Abrus longibracteatus) là một loài thực vật có hoa trong họ Đậu. Loài này được Labat miêu tả khoa học đầu tiên.
3,Abrus_pulchellus,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Abrus,A. pulchellus,100,Abrus pulchellus là một loài thực vật có hoa trong họ Đậu. Loài này được Thwaites miêu tả khoa học đầu tiên.
4,Acacia_arabica,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,VachelliaorAcacia,A. nilotica,100,"Metopoceras kneuckeri là một loài bướm đêm thuộc họ Noctuidae. Nó được tìm thấy ở tây bắc Châu Phi tới Pakistan.
Sải cánh dài khoảng 26 mm. Con trưởng thành bay từ tháng 3 đến tháng 4. Có một lứa một năm.
Ấu trùng có thể ăn Acacia arabica."
5,Acacia_concinna,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Acacia,A. concinna,100,Keo lá me (danh pháp hai phần: Acacia concinna) là loài thực vật có hoa trong họ Đậu. Loài này được (Willd.) DC. miêu tả khoa học đầu tiên.
6,Acacia_dealbata,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Acacia,A. dealbata,100,"Keo phấn trắng hay là Keo bạc (danh pháp hai phần: Acacia dealbata) là loài thực vật có hoa trong chi Keo thuộc họ Đậu. Loài này được Link miêu tả khoa học đầu tiên.Tại Việt Nam, ở một số nơi, như ở Đà Lạt, người ta gọi cây keo bạc hay là cây keo lá tròn (danh pháp khoa học: Acacia podalyriifolia) là mimosa."
7,Acacia_farnesiana,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Vachellia,V. farnesiana,100,"Keo nước hoa hay keo ta, keo thơm, rum tai, mâm côi (danh pháp hai phần: Acacia farnesiana) là một loài thực vật có hoa trong họ Đậu. Loài này được (L.) Willd. miêu tả khoa học đầu tiên."
8,Acacia_leucophloea,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Vachellia,V. leucophloea,100,Vachellia leucophloea là một loài thực vật có hoa trong họ Đậu. Loài này được (Roxb.) Willd. miêu tả khoa học đầu tiên.
9,Acacia_mangium,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Acacia,A. mangium,98,"Keo tai tượng (danh pháp hai phần: Acacia mangium), còn có tên khác là keo lá to, keo đại, keo mỡ, keo hạt là một cây thuộc phân họ Trinh nữ (Mimosoideae). Địa bàn sinh sống của chúng ở Úc và châu Á. Người ta sử dụng keo tai tượng để quản lý môi trường và lấy gỗ. Cây keo tai tượng có thể cao 30 m với thân thẳng. Được trồng nhiều để cải tạo đất đai, chống xói mòn đất."
10,Acacia_nilotica,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,VachelliaorAcacia,A. nilotica,100,Acacia nilotica là một loài thực vật có hoa trong họ Đậu. Loài này được (L.) P.J.H. Hurter & Mabb. mô tả khoa học đầu tiên năm 2008.
